LicensePlate,In,Out,Type,name,age,town,email
JHY 3456,13:00:00,13:41,HGV,Katie Kelly,35,Warrenpoint,katiekelly90@hotmail.com
LFC 7890,13:08:00,13:45,HGV,Declan Johnston,45,Enniskillen,declan.johnston@example.com
CED 2345,13:15:00,13:53,HGV,Ciaran Johnston,33,Crumlin,ciaranjohnston88@gmail.com
SAB 0123,13:26:00,14:00,HGV,Cormac Kelly,39,Antrim,cormac.kelly@ppop.com
OGO 9012,13:30:00,14:12,car,Brendan Crawford,57,Newtownards,brendan.crawford@example.com
GAB 0123,13:44:00,14:15,car,Niall Kelly,60,Enniskillen,niallkelly61@hotmail.com
WYI 1234,13:45:00,14:27,car,Eoin O'Brien,39,Bangor,eoin.obrien@example.com
VVT 6789,13:58:00,14:30,car,Sarah McFarland,25,Downpatrick,sarah.mcfarland@example.com
CVT 6789,14:00:00,14:40,car,Daniel McAllister,68,Carrickfergus,danielmcallister53@gmail.com
BZI 1234,14:08:00,14:45,HGV,Aoife Thompson,59,Newtownards,aoifethompson64@hotmail.com
XFC 7890,14:15:00,14:56,HGV,Hannah Hamilton,21,Dungiven,hannah.hamilton@example.com
AGP 5678,14:22:00,15:00,car,Molly Robinson,43,Belfast,mollyrobinson76@gmail.com
THY 3456,14:30:00,15:05,HGV,Darragh McLean,29,Portadown,darragh.mclean@example.com
DAB 0123,14:42:00,15:15,HGV,Rachel McKee,w,Banbridge,rachelmckee58@hotmail.com
JAY 3456,14:59:00,15:30,HGV,Conor Duffy,52,Bangor,conorduffy69@gmail.com
GGP 5678,15:00:00,15:40,car,Grace McElroy,19,Omagh,gracemcelroy04@gmail.com
PNL 8901,15:14:00,15:45,car,Aisling Boyle,30,Enniskillen,aisling.boyle@example.com
MVT 6789,15:15:00,15:58,car,Ryan Thompson,36,Dungannon,ryan.thompson@example.com
AHY 3456,15:28:00,16:00,HGV,Holly Armstrong,49,Belfast,hollyarmstrong71@hotmail.com
UFC 7890,15:30:00,16:08,car,Niall Hamilton,57,Antrim,niall.hamilton@example.com
SGP 5678,15:36:00,16:15,HGV,Connor Campbell,58,Newtownards,connor.campbell@example.com
LPM 4567,15:45:00,16:25,HGV,Niall Martin,27,Ballymena,niall.martin@example.com
RPM 4567,15:56:00,16:30,HGV,Katie Thompson,42,Dungannon,katie.thompson@example.com
CPM 4567,16:00:00,16:40,car,Emma Walsh,44,Ballymena,emmawalsh77@hotmail.com
XAB 0123,16:05:00,16:45,car,Gareth Boyd,64,Ballynahinch,gareth.boyd@example.com
WED 2345,16:15:00,16:53,cars,Aidan Crawford,68,Derry,aidan.crawford@example.com
NED 2345,16:28:00,17:00,,Ciaran Doyle,22,Holywood,ciaran.doyle@example.com
PGO 9012,16:30:00,17:10,HGV,Seamus Duffy,75,Craigavon,seamus.duffy@example.com
SGP 5678,16:35:00,17:15,car,Maeve Gallagher,67,Lisburn,maeve.gallagher@example.com
JLY 3456,16:45:00,17:27,car,Jamie Gallagher,38,Dungannon,jamiegallagher83@gmail.com
TGO 9012,16:54:00,17:30,car,Ciara Wilson,31,Ballymoney,ciara.wilson@example.com
BVT 6789,17:00:00,17:40,,Eoin Martin,s,Carrickfergus,eoinmartin94@gmail.com
KNL 8901,17:09:00,17:45,HGV,Eileen Gallagher,23,Armagh,eileen.gallagher@example.com
WVT 6789,17:15:00,17:55,HGV,Charlie Smyth,48,Magherafelt,charlie.smyth@example.com
11-MN-3456,17:20:00,18:00,caravan,Fionnuala Murphy,28,Belfast,fionnualamurphy@gmail.com
24-W-4567,17:30:00,18:14,HGV, ,19,Belfast,ainedoyle@gmail.com
99-MH-8901,17:42:00,18:15,HGV,Jiimy Riddler,65,Glean,jim@riddler.ie
KAB 0123,17:45:00,18:26,car,Mary Murphy,54,Londonderry,mary.murphy@example.com
VPM 4567,17:51:00,18:30,,Liam Reid,54,Ballymena,liam.reid@example.com
JNL 8901,18:00:00,18:45,car,John Smith,32,Belfast,john.smith@example.com
11-D-5678,18:06:00,18:56,HGV,Siobhan Lynch,51,Cork,siobhanlynch@gmail.com
22-M-9012,18:15:00,19:00,car,Eoghan Kelly,73,Cork,eoghankelly@gmail.com
08-D-3456,18:22:00,19:03,HGV,Saoirse Ryan,29,Kilkenny,saoirseryan@gmail.com
76-C-7890,18:30:00,19:15,Car,Roisin Brennan,59,Dublin,roisinbrennan@gmail.com
90-G-2345,18:36:00,19:22,,Saoirse Burke,20,Stillorgan,saoirseburke20@hotmail.com
96-C-6789,18:45:00,19:30,car,Eabha Murphy,52,Ballina,eabhamurphy52@hotmail.com
87-D-0123,18:59:00,19:44,car,Aoife Ryan,35,Ballyhaunis,aoiferyan35@hotmail.com
98-G-4567,19:00:00,19:45,HGV,Ciara McCarthy,62,Donabate,ciaramccarthy62@hotmail.com
99-CN-8901,19:06:00,19:49,HGV,Ro Moriarty,76,Tralee,roisinmoriarty76@hotmail.com
KNL 8901,19:15:00,20:00,HGV,Michael Wilson,29,Downpatrick,michael.wilson@example.com
FZI 1234,19:22:00,20:06,car,Sinead Duffy,46,Belfast,sineadduffy75@hotmail.com
SGP 5678,19:30:00,20:15,car,Adam Johnston,20,Enniskillen,adam.johnston@example.com
SGO 9012,19:44:00,20:25,BMW,Laura Thompson,49,Londonderry,laura.thompson@example.com
JLY 3456,19:45:00,20:30,,Niamh Murphy,41,Limavady,niamhmurphy80@hotmail.com
UFC 7890,19:58:00,20:41,HGV,Aoife Reid,23,Newcastle,aoife.reid@example.com
WVT 6789,20:08:00,20:58,,Daisy Quinn,37,Comber,daisy.quinn@example.com
JAB 0123,20:15:00,21:00,car,Lorna Armstrong,27,Newcastle,lornaarmstrong94@gmail.com
TPM 4567,20:30:00,21:13,,Fiona Scott,60,Dungannon,fiona.scott@example.com
LNL 8901,20:34:00,21:15,HGV,Connor Reid,48,Newtownabbey,connor.reid@example.com
02-D-1234,20:45:00,21:26,car,Darragh Byrne,23,Dublin,darraghbyrne@gmail.com
05-G-5678,20:52:00,21:30,HGV,Aoife Murphy,35,Cork,aoifemurphy@gmail.com
08-L-9012,21:00:00,21:42,car,Niamh O'Connor,42,Dublin,niamhoconnor@gmail.com
11-MN-3456,21:02:00,21:45,HGV,Padraig O'Shea,43,Kilkenny,padraigoshea@gmail.com
13-O-7890,21:15:00,21:56,car,Liam Ryan,65,Dublin,liamryan@gmail.com
16-T-2345,21:30:00,22:00,HGV,Ciara Byrne,37,Galway,ciarabyrne@gmail.com
19-KE-6789,21:33:00,22:00,HGV,Aoibhinn O'Brien,21,Belfast,aoibhinobrien@gmail.com
22-L-0123,21:45:00,22:00,car,Dara O'Neill,56,Dublin,daraoneill@gmail.com
24-W-4567,21:46:00,22:01,car,Tadhg Lynch,41,Kilkenny,tadhglynch@gmail.com
99-MH-8901,21:54:00,22:05,car,Matthew Collins,21,Louth,matthew.collins@qub.ac.uk
21-L-1234,22:01:00,22:14,HGV,Maeve Sullivan,44,Limerick,maevesullivan@gmail.com
